Points:0,Points:1,Points:2
0.829,0.4,0.001
0.832,0.4,0.001
0.835,0.4,0.001
0.838,0.4,0.001
0.841,0.4,0.001
0.844,0.4,0.001
0.847,0.4,0.001
0.85,0.4,0.001
0.853,0.4,0.001
0.856,0.4,0.001
0.859,0.4,0.001
0.862,0.4,0.001
0.865,0.4,0.001
0.868,0.4,0.001
0.871,0.4,0.001
0.874,0.4,0.001
0.877,0.4,0.001
0.88,0.4,0.001
0.883,0.4,0.001
0.886,0.4,0.001
0.889,0.4,0.001
0.892,0.4,0.001
0.895,0.4,0.001
0.898,0.4,0.001
0.901,0.4,0.001
0.904,0.4,0.001
0.907,0.4,0.001
0.91,0.4,0.001
0.913,0.4,0.001
0.916,0.4,0.001
0.919,0.4,0.001
0.922,0.4,0.001
0.925,0.4,0.001
0.928,0.4,0.001
0.931,0.4,0.001
0.934,0.4,0.001
0.937,0.4,0.001
0.94,0.4,0.001
0.943,0.4,0.001
0.946,0.4,0.001
0.949,0.4,0.001
0.952,0.4,0.001
0.955,0.4,0.001
0.958,0.4,0.001
0.961,0.4,0.001
0.964,0.4,0.001
0.967,0.4,0.001
0.97,0.4,0.001
0.973,0.4,0.001
0.976,0.4,0.001
0.979,0.4,0.001
0.982,0.4,0.001
0.985,0.4,0.001
0.988,0.4,0.001
0.991,0.4,0.001
0.994,0.4,0.001
0.997,0.4,0.001
1,0.4,0.001
1,0,0
0,0,0
0.004,0,0
0.007,0,0
0.01,0,0
0.013,0,0
0.016,0,0
0.019,0,0
0.022,0,0
0.025,0,0
0.028,0,0
0.031,0,0
0.034,0,0
0.037,0,0
0.04,0,0
0.043,0,0
0.046,0,0
0.049,0,0
0.052,0,0
0.055,0,0
0.058,0,0
0.061,0,0
0.064,0,0
0.067,0,0
0.07,0,0
0.073,0,0
0.076,0,0
0.079,0,0
0.082,0,0
0.085,0,0
0.088,0,0
0.091,0,0
0.094,0,0
0.097,0,0
0.1,0,0
0.103,0,0
0.106,0,0
0.109,0,0
0.112,0,0
0.115,0,0
0.118,0,0
0.121,0,0
0.124,0,0
0.127,0,0
0.13,0,0
0.133,0,0
0.136,0,0
0.139,0,0
0.142,0,0
0.145,0,0
0.148,0,0
0.151,0,0
0.154,0,0
0.157,0,0
0.16,0,0
0.163,0,0
0.166,0,0
0.169,0,0
0.172,0,0
0.175,0,0
0.178,0,0
0.181,0,0
0.184,0,0
0.187,0,0
0.19,0,0
0.193,0,0
0.196,0,0
0.199,0,0
0.202,0,0
0.205,0,0
0.208,0,0
0.211,0,0
0.214,0,0
0.217,0,0
0.22,0,0
0.223,0,0
0.226,0,0
0.229,0,0
0.232,0,0
0.235,0,0
0.238,0,0
0.241,0,0
0.244,0,0
0.247,0,0
0.25,0,0
0.253,0,0
0.256,0,0
0.259,0,0
0.262,0,0
0.265,0,0
0.268,0,0
